Comisión Nacional del Agua
Subdirección General Técnica
Estación: Xalapa
Clave: C30135
Estado: Veracruz de Ignacio de la Llave
Municipio: Xalapa

Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm)
2005/07/01,0.00,21.25,26.00,16.50,5.44
2005/07/02,0.60,22.75,26.50,19.00,5.30
2005/07/03,10.50,24.75,32.50,17.00,5.38
2005/07/04,22.20,21.50,26.00,17.00,2.71
2005/07/05,8.30,22.50,27.00,18.00,5.18
2005/07/06,0.00,20.75,25.50,16.00,3.38
2005/07/07,0.00,21.75,27.50,16.00,4.64
2005/07/08,0.00,22.00,28.00,16.00,5.65
2005/07/09,2.60,21.75,27.50,16.00,4.73
2005/07/10,7.60,21.00,26.50,15.50,3.87
2005/07/11,24.20,21.50,26.50,16.50,2.70
2005/07/12,19.40,21.25,26.00,16.50,3.24
2005/07/13,3.70,21.50,26.00,17.00,5.13
2005/07/14,1.20,21.00,25.00,17.00,2.63
2005/07/15,0.00,22.50,28.00,17.00,5.75
2005/07/16,5.50,19.75,23.00,16.50,1.72
2005/07/17,1.30,21.00,25.00,17.00,3.13
2005/07/18,1.50,21.00,25.50,16.50,4.50
2005/07/19,16.80,20.75,26.00,15.50,3.24
2005/07/20,25.20,22.25,27.50,17.00,5.08
2005/07/21,10.60,21.75,26.50,17.00,3.55
2005/07/22,0.00,20.75,25.00,16.50,4.26
2005/07/23,0.00,20.50,25.50,15.50,2.93
2005/07/24,57.20,19.00,22.00,16.00,0.10
2005/07/25,1.50,22.00,25.50,18.50,3.77
2005/07/26,27.40,21.25,26.00,16.50,3.48
2005/07/27,2.80,20.75,25.50,16.00,3.38
2005/07/28,4.10,20.75,24.50,17.00,1.90
2005/07/29,0.30,19.00,24.50,13.50,3.55
2005/07/30,0.00,19.75,26.00,13.50,5.89
2005/07/31,0.00,19.75,26.00,13.50,5.85
2005/08/01,0.00,21.00,26.50,15.50,5.15
2005/08/02,3.50,21.00,26.00,16.00,4.04
2005/08/03,0.10,20.75,25.50,16.00,3.47
2005/08/04,0.00,21.75,27.00,16.50,4.73
2005/08/05,10.00,21.00,25.00,17.00,5.36
2005/08/06,1.60,20.25,25.00,15.50,2.95
2005/08/07,9.50,20.25,25.00,15.50,2.07
2005/08/08,1.00,20.00,24.50,15.50,4.06
2005/08/09,0.00,21.25,27.00,15.50,5.80
2005/08/10,0.80,20.75,26.00,15.50,4.89
2005/08/11,7.70,20.75,24.50,17.00,2.94
2005/08/12,0.00,21.50,26.00,17.00,4.98
2005/08/13,0.20,20.50,23.00,18.00,3.10
2005/08/14,0.00,21.75,26.00,17.50,5.10
2005/08/15,2.20,21.00,25.50,16.50,2.97
2005/08/16,25.80,20.00,24.00,16.00,0.97
2005/08/17,5.00,20.00,23.50,16.50,2.11
2005/08/18,0.00,20.50,24.50,16.50,4.60
2005/08/19,19.60,19.50,23.00,16.00,3.41
2005/08/20,15.80,20.75,24.50,17.00,4.54
2005/08/21,1.80,21.50,25.50,17.50,3.72
2005/08/22,88.80,19.75,23.00,16.50,2.58
2005/08/23,8.30,19.75,23.00,16.50,1.43
2005/08/24,1.40,19.75,22.50,17.00,3.64
2005/08/25,0.20,21.00,26.00,16.00,3.00
2005/08/26,2.30,21.00,26.50,15.50,4.67
2005/08/27,0.00,21.75,27.00,16.50,4.31
2005/08/28,0.00,22.00,27.50,16.50,3.62
